scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,4,2,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,2,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,2,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,2,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,2,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,2,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,2,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,2,INTEGRATED,benchmark_elapsed_ms,40,4107.181,4455.145,2074.450,4814.309,773.331,MEASURED
APPLICATION,4,2,INTEGRATED,benchmark_throughput,40,4556503.665,4004691.180,3705875.576,8600461.323,1182146.804,MEASURED
APPLICATION,4,2,INTEGRATED,mean_queue_wait_us,40,2113.801,1854.442,229.868,5264.753,1441.937,MEASURED
APPLICATION,4,2,INTEGRATED,mean_completion_latency_us,40,5020.548,4839.746,2341.610,8616.151,1500.048,MEASURED
APPLICATION,4,2,INTEGRATED,mean_pipeline_serial_wait_us,40,31405.291,28782.596,188.346,86531.483,25037.782,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase3_us,40,2851.328,2854.485,2076.444,3767.781,440.101,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase4_us,40,6305.191,6034.667,4430.442,10482.108,1318.956,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase5_us,40,7801.642,7396.470,5639.209,12383.733,1615.604,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase6_us,40,6767.110,6399.745,4109.892,10357.830,1442.602,MEASURED
APPLICATION,4,4,BASELINE,benchmark_elapsed_ms,20,4417.973,4337.664,4066.545,4887.912,251.990,MEASURED
APPLICATION,4,4,BASELINE,benchmark_throughput,20,4050483.259,4113370.191,3650071.925,4387319.715,224570.251,MEASURED
APPLICATION,4,4,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,4,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,4,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,4,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,4,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,4,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,4,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,4,INTEGRATED,benchmark_elapsed_ms,20,4664.697,4619.919,4472.068,5062.595,161.721,MEASURED
APPLICATION,4,4,INTEGRATED,benchmark_throughput,20,3829000.312,3861850.977,3524127.643,3989480.971,129579.508,MEASURED
APPLICATION,4,4,INTEGRATED,mean_queue_wait_us,20,1663.257,1759.945,565.698,2737.575,548.466,MEASURED
APPLICATION,4,4,INTEGRATED,mean_completion_latency_us,20,5361.531,5451.780,4033.925,6443.766,560.451,MEASURED
APPLICATION,4,4,INTEGRATED,mean_pipeline_serial_wait_us,20,39838.602,42035.000,206.365,96667.627,30052.898,MEASURED
APPLICATION,4,4,INTEGRATED,mean_phase3_us,20,3574.010,3574.324,3158.770,4118.606,240.200,MEASURED
APPLICATION,4,4,INTEGRATED,mean_phase4_us,20,7402.861,7492.950,5121.445,9390.816,1470.245,MEASURED
APPLICATION,4,4,INTEGRATED,mean_phase5_us,20,8373.745,7941.593,6391.810,13509.165,1774.172,MEASURED
APPLICATION,4,4,INTEGRATED,mean_phase6_us,20,7311.214,6843.291,5294.860,12647.878,1830.198,MEASURED
