variant,application_count,phase,metric,count,mean,median,min,max,stddev,status
PHASE4_IN_PROCESS,8,phase6,file_io_us,271,326.412,218.573,168.276,6362.007,663.399,MEASURED
PHASE4_IN_PROCESS,8,phase6,result_parse_us,271,95.191,92.167,57.542,399.285,22.627,MEASURED
PHASE4_IN_PROCESS,8,phase6,total_phase_us,271,16041.151,15681.171,5456.808,37682.081,5631.750,MEASURED
PHASE4_IN_PROCESS,8,phase6,pipeline_total_us,271,2023482.853,2065731.321,1844200.639,2093827.126,89572.101,MEASURED
PHASE4_IN_PROCESS,8,phase6,pipeline_service_rate_apps_sec,271,26.857,27.176,25.173,27.700,0.930,MEASURED
PHASE4_IN_PROCESS,8,phase6,aggregate_throughput,271,14114327.387,14210059.909,13604791.590,14564025.612,319486.964,MEASURED
PHASE4_IN_PROCESS,8,phase6,runtime_cpu_percent,271,32.654,32.534,31.627,33.932,0.779,MEASURED
PHASE4_IN_PROCESS,8,phase6,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase4,serial_wait_us,15,221.198,220.437,183.479,287.989,27.676,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,parent_prepare_us,15,63.671,60.548,32.610,115.718,22.592,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,fork_wait_wall_us,15,4987.635,4559.381,3722.965,7461.180,1082.004,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,child_profiled_total_us,15,356.896,329.823,247.344,631.757,97.173,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,startup_uninstrumented_residual_us,15,4630.739,4253.833,3475.621,6829.423,1005.525,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase4,file_io_us,15,457.962,454.801,270.625,653.741,117.561,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase4,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase4,total_phase_us,15,5109.198,4722.538,3803.179,7584.530,1092.297,MEASURED
