workload,mode,metric,count,mean,median,min,max,stddev,status
moderate,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,benchmark_cpu_percent,5,183.153,183.463,179.351,186.433,2.613,MEASURED
moderate,BASELINE,benchmark_rss_kb,5,10056.000,10056.000,10056.000,10056.000,0.000,MEASURED
moderate,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,INTEGRATED,benchmark_elapsed_ms,5,240.890,242.534,219.191,272.687,21.533,MEASURED
moderate,INTEGRATED,benchmark_throughput_ops_sec,5,8354327.467,8246258.989,7334419.045,9124445.409,725617.298,MEASURED
moderate,INTEGRATED,runtime_cpu_percent,5,56.577,53.666,51.833,67.828,6.600,MEASURED
moderate,INTEGRATED,runtime_rss_kb,5,4485.600,4496.000,4368.000,4624.000,116.605,MEASURED
moderate,INTEGRATED,runtime_vms_kb,5,154614.400,154620.000,154592.000,154620.000,12.522,MEASURED
moderate,INTEGRATED,benchmark_cpu_percent,5,181.765,184.934,169.606,190.753,8.618,MEASURED
moderate,INTEGRATED,benchmark_rss_kb,5,10043.200,10056.000,9928.000,10120.000,70.108,MEASURED
