workload,mode,metric,count,mean,median,min,max,stddev,status
moderate,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
cold,BASELINE,benchmark_elapsed_ms,5,234.155,232.824,225.110,247.050,8.075,MEASURED
cold,BASELINE,benchmark_throughput_ops_sec,5,8549308.003,8590172.697,8095528.991,8884554.293,288779.197,MEASURED
cold,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,benchmark_cpu_percent,5,182.491,181.643,179.271,186.730,3.193,MEASURED
cold,BASELINE,benchmark_rss_kb,5,10068.800,10056.000,9992.000,10184.000,70.108,MEASURED
cold,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
cold,INTEGRATED,benchmark_elapsed_ms,5,249.480,244.416,237.665,277.164,16.017,MEASURED
cold,INTEGRATED,benchmark_throughput_ops_sec,5,8041422.997,8182768.183,7215943.882,8415217.679,482189.195,MEASURED
cold,INTEGRATED,runtime_cpu_percent,5,55.998,53.904,52.099,63.700,4.606,MEASURED
cold,INTEGRATED,runtime_rss_kb,5,4431.200,4432.000,4364.000,4496.000,65.017,MEASURED
cold,INTEGRATED,runtime_vms_kb,5,154610.400,154616.000,154588.000,154616.000,12.522,MEASURED
cold,INTEGRATED,benchmark_cpu_percent,5,182.241,180.132,178.736,187.314,3.706,MEASURED
cold,INTEGRATED,benchmark_rss_kb,5,10068.800,10056.000,9992.000,10184.000,70.108,MEASURED
cold,INTEGRATED,discovery_us,5,52398.795,52924.311,46154.600,55875.089,3924.252,MEASURED
cold,INTEGRATED,queue_wait_us,5,362.968,88.393,77.759,802.710,383.494,MEASURED
cold,INTEGRATED,worker_execution_us,5,2602.605,2686.876,2307.835,2824.978,211.621,MEASURED
cold,INTEGRATED,phase3_us,5,2596.566,2680.586,2301.402,2818.908,211.557,MEASURED
cold,INTEGRATED,pipeline_serial_wait_us,5,296.505,287.872,273.596,322.870,20.020,MEASURED
cold,INTEGRATED,phase4_us,5,6946.166,8162.179,3807.446,8246.760,1927.018,MEASURED
cold,INTEGRATED,phase5_us,5,6043.779,5908.313,4373.456,7718.538,1276.495,MEASURED
cold,INTEGRATED,phase6_us,5,5616.987,4853.333,3784.611,8625.244,2031.349,MEASURED
cold,INTEGRATED,coordinator_overhead_us,5,939.033,915.518,811.907,1078.490,97.417,MEASURED
cold,INTEGRATED,completion_latency_us,5,3038.080,2975.864,2618.152,3534.418,344.052,MEASURED
cold,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
cold,INTEGRATED,runtime_cycle_total_us,5,111263.234,110335.124,106506.051,119756.343,5065.899,MEASURED
cold,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
cold,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
cold,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
cold,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
cold,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
mixed,BASELINE,benchmark_elapsed_ms,5,207.936,202.838,193.508,225.136,14.900,MEASURED
mixed,BASELINE,benchmark_throughput_ops_sec,5,9657388.523,9860106.485,8883536.380,10335498.925,681019.703,MEASURED
mixed,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,benchmark_cpu_percent,5,181.648,181.498,180.722,183.090,0.887,MEASURED
mixed,BASELINE,benchmark_rss_kb,5,10081.600,10056.000,9992.000,10248.000,97.061,MEASURED
mixed,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,INTEGRATED,benchmark_elapsed_ms,5,233.452,221.295,216.673,257.003,20.522,MEASURED
mixed,INTEGRATED,benchmark_throughput_ops_sec,5,8618760.878,9037707.067,7782009.600,9230486.977,735231.708,MEASURED
mixed,INTEGRATED,runtime_cpu_percent,5,58.195,57.083,55.621,63.495,3.166,MEASURED
mixed,INTEGRATED,runtime_rss_kb,5,4574.400,4568.000,4496.000,4688.000,83.215,MEASURED
mixed,INTEGRATED,runtime_vms_kb,5,154610.400,154616.000,154588.000,154616.000,12.522,MEASURED
mixed,INTEGRATED,benchmark_cpu_percent,5,177.037,176.383,163.087,186.417,9.189,MEASURED
mixed,INTEGRATED,benchmark_rss_kb,5,10081.600,10056.000,10056.000,10184.000,57.243,MEASURED
mixed,INTEGRATED,discovery_us,5,50435.189,50476.130,45143.170,57886.573,5080.236,MEASURED
